"","baseMean1","baseMean2","lfc1","lfc2","d0L1","d0R1","d0L2","d0R2","d0min"
"YPR009W_02",486.740535385832,228.289965165493,0.0164863776730469,-0.0659145061735679,790,397,67,435,67
"YDR273W_07",300.72882366152,228.265837402978,-0.105918962600961,0.169080531248973,1056,145,317,9,9
"YPR133W-A_01",358.413820445199,228.163125750773,0.0940925551974587,0.0925862878892253,202,325,53,600,53
"YML002W_04",270.324171220259,228.121967650342,-0.0274726658156713,-0.201206320981508,564,60,192,287,60
"YNL202W_00",999.900819111433,228.109689665938,0.031204306527429,-0.17474093182147,972,741,516,587,516
"YDR263C_01",484.862600873216,228.095336465426,-0.0169452936754506,-0.00998350408441364,949,100,177,367,100
"YNR043W_02",603.199279383849,228.074950252284,-0.153323509519281,0.0329759785413242,30,961,583,1,1
"YPL175W_03",317.957157716548,228.063862688564,-0.0183820052292107,0.179480321783837,372,450,221,1,1
"YDL232W_04",456.307450811691,228.024771835916,0.0843956190482962,0.0719447529677155,462,367,366,0,0
"YPR002C-A_03",549.729181938892,228.015649218635,-0.156930734597569,-0.181672398704788,656,1360,132,728,132
"YNL036W_06",2077.25710212063,227.923005191714,0.0817742728657643,-0.0451614165308868,810,2224,1,491,1
"YBR126C_04",415.206907052058,227.909015150362,0.053926985969718,-0.0659380761398579,374,318,86,462,86
"YLL031C_06",282.759169180339,227.825212212381,-0.308893932474432,-0.299672860721342,109,1050,513,610,109
"YER118C_07",259.890231997782,227.812352502511,0.027242618064375,-0.327637685759982,345,154,901,25,25
"YGR223C_09",877.208560914726,227.805606029719,0.0827767979652513,-0.0652520925732492,191,1099,265,474,191
"YBL107W-A_07",233.6585500851,227.787578560257,-0.437627525513704,0.0617615737318642,109,400,297,33,33
"YBR034C_02",2261.295439399,227.763587659422,0.202578201522969,0.0263177836377135,3297,0,211,218,0
"YBR280C_08",520.146258673678,227.715417122752,-0.111416235057073,-0.233301123051615,1263,376,320,744,320
"YJL218W_01",402.567759951146,227.711160098361,-0.0506062171598022,0.133327231349124,476,266,158,97,97
"YGR244C_07",252.86993313189,227.681955094373,0.00729915626899678,-0.0184410100527163,192,393,12,314,12
"YNL049C_05",941.081796913373,227.666990158449,0.118570172166703,-0.0717438035246681,524,539,339,129,129
"YGL006W_05",548.363015534477,227.65141545959,0.0581010501171019,0.0314570778632384,1246,36,233,257,36
"YNL219C_08",368.548600857629,227.651391291629,-0.193081633596554,0.0610359342241988,616,967,0,315,0
"YPL164C_00",245.548699594336,227.626524633039,-0.0809748519634606,0.0572391340098714,111,753,278,141,111
"YDR223W_01",833.303449728513,227.619415990038,0.0602459099460566,-0.095553872886839,808,408,46,897,46
"YHR109W_02",321.977581270304,227.617442689072,-0.30877452699301,0.300284087084038,138,1384,572,0,0
"YBR128C_03",402.649757144842,227.554912758683,-0.247021120720797,-0.217072013796787,972,81,1073,0,0
"YPL155C_02",318.579300148889,227.551388429023,-0.207018626246163,-0.170145598204335,652,525,319,712,319
"YJR092W_05",380.573932114918,227.551098279208,-0.531909461815852,0.0569069888212884,395,1592,9,562,9
"YEL032C-A_03",236.728689638525,227.543468910847,0.106658811803485,-0.0637594937535684,438,0,268,352,0
"YLR070C_06",336.509812012771,227.527760114908,-0.263124701801292,-0.165613277881794,722,997,408,347,347
"YLR076C_00",283.041841436083,227.481464721572,0.141361645490005,0.00663330218747611,244,63,268,206,63
"YER004W_00",259.186614562544,227.479509593576,0.0256694638278569,0.0528231643712744,120,216,87,364,87
"YHR009C_00",684.752049802568,227.436974244545,0.0299908083699342,-0.0543416458032631,45,1086,288,250,45
"YDL158C_00",538.089182582418,227.392212329675,-0.115654699662749,-0.0876505085180793,2245,287,428,159,159
"YIL037C_05",283.553899372105,227.376116129536,0.0286651973957072,-0.129114673693259,1132,0,107,941,0
"YDR116C_00",763.609794775983,227.364457219823,0.0814836395038877,0.198254611541595,748,467,17,306,17
"YJL010C_05",1061.74559311885,227.36206275257,0.110235718909997,-0.365476895430186,144,1008,33,524,33
"YDL164C_08",444.899964535477,227.307168172959,0.0233897852833682,-0.0154464988620078,605,136,520,0,0
"YOR304W_01",238.691533492611,227.245703278358,0.023043492486778,0.0190431163130755,384,89,128,488,89
"YPL002C_02",267.5173424164,227.227308538707,0.173725666549156,0.182112611416567,464,0,35,193,0
"YKL207W_06",382.08280456877,227.080336762921,-0.0546901271520866,0.133014428458038,145,1341,13,405,13
"YMR194C-A_01",229.994145695759,227.052504991416,0.00602365987277785,-0.05871864416617,291,204,430,107,107
"YEL020C_05",2167.20167710807,226.976211398894,0.0383312434063433,0.130038239384693,167,2386,74,290,74
"YMR293C_07",314.379355313683,226.96656799188,-0.408817544472946,-0.153861924398803,51,627,576,164,51
"YKR056W_02",414.494038757608,226.942775269859,-0.180119058300552,0.0461497010146703,543,280,356,57,57
"YDR075W_00",5418.42506423544,226.93968429397,0.138650947347244,0.230028085727377,1122,3796,261,2,2
"YLR154W-C_09",280.630444145715,226.921984881529,0.0167395113322831,0.0692778221008788,135,349,194,58,58
"YKR103W_03",8539.03909122157,226.908020085411,0.207851811483855,0.1368891833931,944,4161,118,39,39
"YBR164C_04",270.830521513854,226.821299059085,-0.0725545241739593,-0.00199783846660855,211,495,1,514,1
"YFL048C_02",412.67901754192,226.820080271917,-0.0796422798659816,-0.243308068113108,128,955,18,461,18
"YJR020W_04",404.797588148518,226.809020359541,0.0480151691563075,0.0321294093795877,147,594,86,298,86
"YBR182C_01",431.011871066403,226.794287986292,-0.0167853530008792,-0.112684180402034,695,456,478,173,173
"YFL049W_00",476.9346654096,226.756384510706,0.195171484071735,0.0721946685951917,447,10,129,226,10
"YMR047C_09",785.701597335006,226.707255253709,0.102514200547828,-0.0547062609819522,307,728,377,52,52
"YCL038C_00",620.646502558284,226.697925832291,0.0315639267244722,-0.04354391604632,746,459,393,416,393
"YLR464W_01_DEGEN",460.288707500229,226.688053829943,0.0544737868985264,0.00943334886083554,832,304,121,272,121
"YDR379W_09",246.998254436621,226.684701164508,-0.0309411930272597,-0.0430374994325171,329,267,739,35,35
"YJL155C_01",692.20397586618,226.662344102871,-0.0411627822835861,-0.218591650969409,749,810,531,22,22
"YHR192W_07",262.754597163084,226.649278032402,-0.636151481243158,-0.608321363413906,1682,252,147,1483,147
"YHR071W_02",250.307919481339,226.634793884403,-0.0604669262883142,0.0435710188101191,506,61,0,443,0
"YBR135W_07",355.212604572589,226.557375361234,0.0110762014827704,-0.0499164305958782,500,236,245,411,236
"YNR053C_09",240.180340240646,226.521540953601,-0.125497942346273,-0.0668340485317823,305,460,180,601,180
"YMR278W_02",231.00289694175,226.444489566904,0.132366864296294,-0.304627213235636,390,0,418,54,0
"YNL107W_05",319.664202850994,226.404301806416,-0.766181395482607,-0.843485292482872,298,1752,1233,281,281
"YIL089W_07",945.368695656254,226.398653394201,0.0168790716677841,-0.0969942804631684,219,1385,392,288,219
"YDL189W_05",419.493642629781,226.22894072192,0.21113005209946,0.0183404870030109,698,0,89,330,0
"YNL029C_01",413.125511724572,226.197375006573,-0.109790256298809,-0.0301008119927329,391,871,570,140,140
"YER073W_05",2402.69131163835,226.193421633988,0.0960030483077192,-0.189742518728753,2256,259,450,217,217
"YML058W-A_08",366.560038017912,226.186273700305,-0.0212148256886753,-0.0300153926139077,374,471,216,255,216
"YJR162C_02",252.634896148289,226.18446766016,-0.53182295613208,-0.291803417608386,103,425,15,320,15
"YPR036W-A_00",732.396920976851,226.133779930115,-0.10019219456876,-0.128387315087582,1239,907,553,385,385
"YER085C_03",279.107562118426,226.041673625576,0.0672243969345233,0.145155446144967,559,0,1,289,0
"YBR300C_02",249.728338801042,225.909416772994,-0.216828767016476,-0.0790454022958956,632,330,359,379,330
"YDR090C_08",469.579104104508,225.896589824969,-0.0113927302667229,-0.0184427488297882,303,436,229,276,229
"YHR213W_01",366.229689320439,225.892532056477,-0.0965480732239109,0.0159620987090958,469,505,359,131,131
"YLR460C_03",446.904532064162,225.892404687864,0.0186828059600452,-0.02168168672921,237,726,288,212,212
"YDR353W_02",924.480664683919,225.864804576211,0.000100181053871611,-0.0969316282941379,1278,344,206,394,206
"YKL136W_04",277.355681200865,225.702939934895,0.02184452849474,-0.139811340725947,798,43,0,834,0
"YGR073C_02",1246.27339708795,225.679558108592,-0.0109680415792137,0.079443316372522,1757,191,379,0,0
"YNR007C_01",651.161625893267,225.660587695822,-0.00381434017927052,-0.0819554766054043,308,899,260,116,116
"YPL055C_06",236.887408673067,225.657600960807,-0.022608019112482,-0.0697372231121384,136,285,481,204,136
"YMR215W_06",418.983436196663,225.633176114919,0.114102017610994,0.0517120603154474,73,656,76,442,73
"YJR102C_01",948.055561668352,225.491374012942,-0.0446723907711194,0.0231490869292262,605,2241,271,253,253
"YNL086W_07",379.681824300629,225.479674627587,0.104678983451025,-0.0053308964427119,104,259,106,455,104
"YGL151W_02",958.491062121498,225.479323385222,0.0293106137637641,-0.0557018117049973,1356,426,250,78,78
"YBR009C_06",278.087245718603,225.474403345955,0.0848707883872316,-0.0406188033884802,207,66,639,0,0
"YJR099W_08",553.692245110427,225.466191802549,-0.0949569111638999,-0.0846275453549868,202,956,3,297,3
"YKR010C_02",231.743525708543,225.458394256915,-0.0774302890008673,-0.0647591149578165,588,119,628,0,0
"YGL014W_06",354.988013256447,225.447061889181,0.042843651107045,0.0249384313207776,340,282,140,379,140
"YPL020C_01",241.864383796611,225.393807863948,-0.107960568419213,-0.10143585048089,365,639,925,0,0
"YHR138C_04",1047.71259416523,225.380636667724,0.0792236126795033,-0.125089398568529,336,1057,389,48,48
"YHR207C_06",1521.73698918618,225.380445850855,0.0252163318537104,-0.192960733106193,1205,1711,203,704,203
"YKR017C_09",298.504097298153,225.26056104562,-0.455039075627956,-0.0167937783169191,88,1021,575,0,0
"YKR097W_04",248.309751258977,225.227546664734,-0.0544966935134858,-0.0359950030638434,621,0,203,459,0
"YKL004W_02",908.646364843172,225.223081827544,0.117959502470475,0.0241667784307062,120,1031,229,240,120
"YDR495C_08",270.791806021833,225.222688680164,0.0365336560849313,0.102455400581179,245,277,436,0,0
"YHR028C_00",281.158659491392,225.208432614944,-0.15965705063403,-0.0765454576842634,555,466,361,293,293
"YNL140C_03",450.866549920044,225.129997636701,0.0243436000329653,0.0502678306763438,91,616,46,249,46
"YNL284C_02",269.934693883024,225.055375944877,-0.211498758164949,-0.20119016785611,95,661,31,736,31
"Q0255_05",276.924295181224,225.01407769844,-0.257040404125072,-0.000475754438555577,26,408,71,344,26
"YPL024W_03",306.553067724851,224.975725045357,-0.154002079553948,-0.398345048341574,902,0,463,63,0
"YKL183W_00",311.712336446483,224.939202609845,0.0981190133283263,-0.0946916272210835,382,59,50,525,50
"YLR206W_00",457.461304110661,224.918314354582,-0.0464678208729713,-0.0793063025214168,121,1223,4,133,4
"YGL029W_04",267.638435785959,224.888826746442,-0.106806955413195,-0.0554349529260887,321,409,371,215,215
"YLR056W_00",1107.05594257822,224.871148729389,0.194846104656518,0.0369266845950022,670,251,117,388,117
"YKL187C_02",622.163357804526,224.851154638074,-0.0298053052318985,0.186362007877556,27,565,20,121,20
"YKL167C_04",572.386450626921,224.819874552587,-0.0770196987403803,-0.0151071603511675,1016,745,561,0,0
"YGR019W_03",293.610449061384,224.761075806107,-0.467960250897537,-0.52954290237981,284,1199,410,748,284
"YLL021W_09",273.549209215084,224.691158717412,0.106492937518294,-0.016863005902803,255,76,164,70,70
"YDR544C_04_DEGEN",259.290883731495,224.676289388736,0.19422532381282,-0.204254584354633,270,44,604,309,44
"YPL049C_00",232.008161836876,224.661115523084,-0.184412888689074,-0.300092593076227,731,81,517,141,81
"YNL152W_04",544.880831857026,224.655284537105,-0.412403195835904,-0.677926540061953,1429,1485,374,638,374
"YDR529C_09",284.113240996926,224.603611569893,0.134895850195696,0.05480203133106,366,0,497,0,0
"YPR036W-A_09",1138.20979595632,224.584729701593,-0.0172602657070084,-0.152713374869067,2253,720,290,374,290
"YDR435C_05",686.159968842871,224.56616778119,0.123148746504059,-0.283783623057174,185,827,120,250,120
"YPL232W_02",253.564085201985,224.566003564774,-0.130884634427375,-0.158860072740947,324,559,2,546,2
"YML108W_08",430.79284858165,224.563671601765,0.0830259983917801,-0.181887693102294,844,0,70,524,0
"YDR118W-A_05",1349.22706875512,224.446405206183,0.16769700628035,0.0168904271662799,891,253,221,487,221
"YJR104C_05",998.950945110483,224.393899657908,0.0382000461914753,-0.0596868367780466,684,1051,343,278,278
"YCL059C_05",266.830337895445,224.376532366565,-0.0686199526106812,-0.0569641922161041,738,171,412,369,171
"YCL040W_03",600.430446552042,224.329851568334,0.0334640406055266,0.0908890991011281,594,636,142,181,142
"YIL156W-A_01",548.324136336112,224.25745214457,0.0761236860332791,0.0907454415481198,149,657,96,236,96
"YDR218C_00",271.877235609127,224.24858067393,0.0274205634128525,0.0819332163777237,218,380,394,0,0
"YER174C_09",490.603225440874,224.232426276469,0.144340068781955,0.193770638332539,100,495,95,45,45
"YPL080C_06",445.287043399345,224.218214410519,-0.0597046020723447,-0.0992977028337759,780,465,159,523,159
"YNL086W_05",401.893931605278,224.160241162223,-0.0281752309120003,-0.0543419139553721,140,687,1,349,1
"YAR023C_04",300.01702194232,224.148558233511,-0.122558621647272,-0.190649186692428,479,716,553,496,479
"YMR294W_08",319.52201413609,224.123661511594,-0.0464559760554035,-0.0918427103476752,701,177,383,327,177
"YLL063C_00",278.715242249258,224.105631213038,0.0838410336541689,7.54507323761245e-05,291,41,259,234,41
"YBL075C_01",519.725684885863,224.102863355151,0.0477815430756018,-0.221280747658978,1418,0,286,56,0
"YBR005W_02",530.851378331958,224.069079889407,-0.0473283308386909,-0.010168454759579,795,733,362,272,272
"YML096W_02",376.482423895146,224.064093978788,-0.0906242439811405,-0.0334327942209728,657,314,47,402,47
"YDR411C_09",359.112840000511,224.044995641289,0.15741344970485,0.161893954746,266,99,3,498,3
"YER145C_02",254.238710073033,224.038296686212,0.244684352503949,-0.359628333348723,461,0,51,359,0
"YIR022W_03",242.260889093097,224.020775269745,-0.0724510358359598,-0.137687705714727,409,288,89,1180,89
"YMR030W-A_03",267.868228508364,224.010022107144,0.252391254314925,0.174194192179442,138,49,131,0,0
"YMR076C_05",648.570757956857,224.005987604448,-0.177193027811453,-0.0510640906389208,1160,59,116,398,59
"YIL078W_01",933.325485696593,223.951805538869,-0.138933373508868,-0.43360570146741,502,2369,868,461,461
"YBL039W-B_05",368.13944694657,223.895156662976,-0.0874391360190912,-0.125448618833995,236,1078,589,137,137
"YNL019C_00",307.852990443269,223.888525923819,0.00654430017409782,-0.107031845599905,363,312,272,278,272
"YNL258C_00",355.605397198838,223.735370937598,0.218119099934664,0.204209657791801,311,0,30,171,0
"YBR068C_08",651.932500634583,223.724666264916,-0.117305591753541,-0.0346297127926688,2055,249,308,241,241
"YDR300C_08",335.111326252318,223.620699915333,-0.0108519723356588,0.0339563325092375,479,417,349,26,26
"YPL008W_04",455.529539298538,223.608110591615,0.0450107313155484,-0.0748492936483729,380,223,118,696,118
"YGR080W_06",230.080302860458,223.497472229023,-0.117654188647604,-0.10592815998006,9,382,500,149,9
"YPR175W_03",358.536711772225,223.415846418666,-0.120086835494042,0.0270813404275916,635,99,314,153,99
"YBL082C_06",240.341390157886,223.374041384999,-0.0898326813236697,-0.176933875016046,379,460,680,245,245
"YJL117W_01",234.956808674499,223.370264707508,-0.241061929621283,-0.135256667880058,602,264,478,291,264
"YJL115W_00",338.420169391393,223.353300447521,0.0143986673138555,-0.0461861294945603,568,125,510,199,125
"YDR183W_03",369.038847614883,223.326672778177,-0.120361029069769,-0.316339400272665,119,1274,401,80,80
"YCR106W_01",512.795848728586,223.321125665496,-0.0101065462315059,-0.0846587949509078,771,319,309,282,282
"YML056C_01",258.973642848767,223.31385373847,-0.0642733192642334,-0.15274267378985,354,459,90,357,90
"YGL127C_03",252.76798676193,223.309259443278,-0.0230148037240036,-0.0598437967208344,141,632,184,409,141
"YOR343W-A_04",229.361110696395,223.295305328959,-0.0715415310122072,0.0461805703151314,17,502,936,0,0
"YKR089C_08",611.330795915165,223.293480324079,0.0247355078211908,-0.135527337314396,926,357,280,433,280
"YDR242W_05",334.132101915366,223.235558896205,0.0130612774438026,0.135451137733602,404,265,380,0,0
"YDR440W_06",294.91312931592,223.219176285674,-0.15745018117725,-0.0572491972696061,604,369,400,239,239
"YOL044W_05",295.30082460412,223.20149293492,-0.535922370042166,-0.482132662451216,75,1060,99,684,75
"YJR053W_04",242.199726687166,223.192998215541,-0.0267336999423623,-0.0152120816051493,147,442,134,485,134
"YIL029C_01",431.834153833576,223.170197245534,0.129117042266048,0.101226251869975,711,0,49,233,0
"YER038C_02",333.152857564475,223.147169566304,-0.252813864209218,-0.263091910287298,786,402,458,109,109
"YDR444W_07",1129.81995150269,223.133224208525,0.0167449170677698,0.0297587777950188,1778,672,20,272,20
"YER147C-A_02",928.195280526647,223.020947392293,0.219230079306634,0.051880971699003,881,0,104,368,0
"YFL020C_05",516.984692571965,223.015111463176,0.143483612990808,0.14426419135468,519,93,52,275,52
"YER046W-A_01",251.125408412316,222.924250101265,-0.068205725295145,-0.113441545988458,522,208,342,405,208
"YEL025C_09",232.427065070743,222.910137356655,0.259809619340709,-0.0596843198056383,216,0,181,438,0
"YER142C_07",835.598356537133,222.897967415189,0.0977789702052058,-0.194177924395926,334,623,588,263,263
"YNL067W-A_06",237.713035508977,222.887811644551,-0.0119673173012418,0.08400208097498,586,0,470,0,0
"YPL177C_03",2321.99587144874,222.835632483392,0.113402345761251,0.0790867344680409,794,1991,190,83,83
"YPL129W_00",233.862602806972,222.823229106509,0.0531374404874303,-0.0443904167359088,351,67,0,543,0
"YHR146W_06",421.992051579297,222.6783241305,0.0518007205052753,-0.0710869341531684,311,416,158,395,158
"YGL114W_06",1371.25687009064,222.650165374876,0.0895680619395665,-0.0585636150998123,1931,233,102,543,102
"YDL236W_09",319.716035499666,222.642970421496,-0.0515451447779299,-0.127703933630011,434,355,232,538,232
"YKR072C_07",387.251920792541,222.623077546336,0.0250460165822956,-0.315504337970996,833,36,621,43,36
"YCL065W_05_DEGEN",390.98480255834,222.598429576995,-0.0206858506138881,-0.26685554483009,502,0,675,94,0
"YMR244C-A_09",804.735535142616,222.570395521271,0.0970391208099885,0.0831046189748095,1113,127,70,135,70
"YBR150C_04",416.19980013583,222.57024184641,0.002937001116906,-0.140056197494205,560,309,285,474,285
"YPR204W_09",427.384515956892,222.562160974893,-0.0213133114103452,-0.245154274449374,20,1134,76,536,20
"YER110C_08",233.661580163976,222.498004400811,-0.0911488525702971,-0.199143384935123,532,188,448,535,188
"YGL006W_07",230.41744335779,222.465681242167,-0.0289967666775532,0.0399176895368517,131,328,596,0,0
"YDR089W_09",2439.9476542043,222.449348133291,0.114754446287707,-0.0900007705245126,500,1826,285,37,37
"YHR188C_05",712.155300621228,222.380207681008,0.0911928186474938,0.112597913745121,60,992,74,225,60
"YOR161C-C_01",284.972539528733,222.268596586718,0.0710128191841579,-0.144811596096252,214,186,224,769,186
"YPL260W_03",240.195265187925,222.232327735476,0.370701137557143,0.0904910947178214,189,0,71,432,0
"YDL214C_01",631.972983718332,222.145135581301,0.161500667130983,-0.0163839603446599,441,37,66,330,37
"YOR034C-A_08",424.128780541219,222.10426511004,0.0977720476472075,0.143382001646294,162,324,239,45,45
"YBR233W-A_03",270.098432937099,222.078595335252,0.0160374595637591,0.0518981711721459,191,489,255,103,103
"YBL105C_07",256.771393634841,222.031176477668,-0.134347825729355,-0.193162504290258,380,438,474,512,380
"YER158C_02",1082.4924979609,221.99114955985,-0.177744334659231,-0.337170411264904,13,204,427,106,13
"YCR072C_03",1115.67763181869,221.979045948943,-0.0500816690511859,-0.107409230914987,1159,1197,451,279,279
"YHR002W_05",1151.95249114531,221.977916244169,0.0633793856751366,-0.0116907861059999,1398,255,287,221,221
"YKR020W_04",581.582509785773,221.971025944991,0.131764716866379,0.0138165681184573,467,245,2,454,2
"YHR129C_02",701.280028916792,221.964644414667,-0.204454305266091,-0.19064082599346,2168,0,224,728,0
"YGL049C_06",366.078298268782,221.907363059449,-0.0947935236813064,-0.146557855057356,497,438,629,207,207
"YMR075W_04",249.254518736624,221.895386077687,-0.0428365679575074,0.103940686010803,55,452,0,305,0
"YDL104C_01",557.000882927945,221.877365139397,0.273036787001016,-0.116834252887899,357,0,15,353,0
"YGL224C_02",353.04910265045,221.861813439789,-0.0147388522020775,-0.119565032078879,117,567,445,274,117
"YJR059W_06",839.814904557149,221.731503629762,-0.116738993035689,-0.0621839973656297,2130,397,454,222,222
"YLR334C_08",991.882287646307,221.721945844134,0.0408290977672704,-0.105791126222149,1191,629,337,470,337
"YMR254C_00",924.905553986228,221.683967429377,-0.13758968800247,0.0419610888497002,7,1104,71,341,7
"YEL071W_02",309.055743695452,221.578938149547,-0.279456159173153,-0.106890562495025,76,545,602,167,76
"YLR432W_01",1520.82145714852,221.576285595833,0.0441191213792574,0.0688101620508128,1508,395,273,99,99
"YJL126W_05",809.731492347203,221.573444742504,-0.0886095356731856,-0.0793269524625182,4,1330,385,63,4
"YPR130C_02",711.952417651586,221.494921522227,0.058834382938131,-0.0575961157767313,88,762,528,97,88
"YOL132W_01",479.136292937249,221.45818320317,0.135853865365033,0.0262121231872502,608,0,221,164,0
"YLR444C_08",484.719241721673,221.367910166666,-0.100482915182557,0.0865373917007031,730,1089,0,194,0
"YOR307C_02",1399.17405614989,221.353373355808,-0.138350382563277,-0.19399242832708,5,3628,532,225,5
"YMR141C_03",655.718748902017,221.330816286091,0.0657167943806977,-0.206221346679746,50,1004,686,36,36
"YDR184C_01",420.887380848878,221.328211515854,0.0523333037608966,0.247925663701073,418,300,343,0,0
"YGL090W_07",362.438529913097,221.218397454802,0.0434054463693058,0.0458543049438266,288,227,184,120,120
"YMR223W_06",520.94800398018,221.112088185803,0.0755989508522162,0.402150618902185,734,158,322,0,0
"YHR199C-A_07",622.843651394966,221.067783424138,0.00686132008373585,-0.0245705551380491,516,922,383,136,136
"YNR011C_08",966.539796748057,221.022621906558,0.0689831476347892,0.0518457338796312,1102,497,243,221,221
"YDL144C_04",1485.01432374529,220.968969899542,0.11123621733773,0.150062636809613,1008,906,0,373,0
"YGR148C_06",296.007982695332,220.886055357878,0.0827265546934487,0.00257632063845011,282,170,267,130,130
"YLR162W_07",987.60607975614,220.850873428609,0.0825248711408116,-0.120725745203277,804,820,419,335,335
"YDR154C_02",256.530256246469,220.823604417977,-0.147172053763327,-0.240743430480874,675,300,560,111,111
"YKR095W-A_00",304.573052341735,220.776801092576,-0.464214612378763,-0.405709633786158,372,1732,493,750,372
"YLR173W_03",241.56330842647,220.730436250198,0.0571680161734822,0.0172323731735622,37,465,613,0,0
"YDR129C_06",502.965672963341,220.703301146679,0.131651528497738,0.00867315047489596,125,672,264,228,125
"YAL039C_03",249.575092905954,220.659110758762,-0.435962421924136,-0.508473237218846,127,1050,667,127,127
"YKL102C_00",244.999455533551,220.633545456026,-0.105932716306792,-0.00890150726947526,16,542,220,276,16
"YNL142W_09",1965.61925410371,220.584843137974,0.244926050058776,-0.253435260903105,93,1150,15,207,15
"YPR018W_09",2933.17988560292,220.57958386494,0.0980710434562046,0.178477690611061,541,3732,385,0,0
"YGR100W_00",440.630704897536,220.552092412847,-0.0328092551859342,0.0916833362021016,3,879,170,111,3
"YCR057C_07",280.500746018614,220.502060858969,0.0254581026239773,0.0149128873021033,119,754,290,173,119
"YPR055W_05",224.412388803085,220.451415092088,0.00100059425502637,0.031307976762146,244,206,111,429,111
"YDR302W_08",396.950170236683,220.449919293312,-0.337100880253609,-0.419558187356468,26,857,397,79,26
"snR5_05",1374.36965235073,220.434149879074,-0.155556415968901,-0.0337131974758378,313,2678,97,630,97
"YJL071W_05",504.119923227255,220.363604810868,0.0826576050342342,-0.0116969903924461,99,507,0,631,0
"YER149C_08",250.950617835588,220.345441721135,-0.31110552530363,0.0708419906265032,18,474,113,278,18
"YDR071C_02",417.415497408612,220.328681799697,-0.017976429027991,-0.0379565467718739,328,732,231,529,231
"YDR537C_05",289.684944664925,220.325629813707,-0.0538595616896957,0.0556684746895275,867,0,105,164,0
"YDL175C_08",475.694480022361,220.295350536173,-0.111740812198905,0.0431135215443123,1566,54,223,196,54
"YBR264C_08",607.665099061944,220.288367844613,0.00214691651859351,-0.00363225770382023,244,978,438,125,125
"YHR126C_01",652.260632068721,220.261738521948,-0.0869628494428828,0.0319088489412829,553,48,119,359,48
"YML043C_06",303.467771112925,220.23241506588,-0.120391600194837,0.0847891615813022,374,79,16,271,16
"YGR046W_08",561.172324974821,220.213263543625,0.0810645845872712,0.0152345005612709,707,118,299,108,108
"YGR084C_08",514.620491532999,220.192931606752,-0.145608094025658,-0.170733822579808,58,1406,105,270,58
"YDR152W_09",292.911156937573,220.191556705106,-0.0304868759895724,0.0961338246948903,781,167,177,96,96
"YDR473C_06",235.808674732088,220.150078427555,-0.152091568981885,-0.151346123050999,408,159,0,861,0
"YDL151C_02",698.781667527287,220.137556854709,0.0150894022771145,0.0602441422652906,466,982,92,299,92
"YLR012C_02",1194.95015136392,220.088893487789,0.148770848272692,-0.144628508725047,1023,176,45,329,45
"YNL310C_03",1721.41315388666,220.055285647291,0.057417397685892,0.0679473005291421,2067,992,196,197,196
"YMR315W_01",677.028555682466,220.004246282045,-0.0128560922392425,-0.0432255874841081,1173,208,774,76,76
"YMR196W_03",426.785714382142,219.950215383699,-0.0791180391621453,-0.0174591202868432,348,614,64,239,64
"YGR286C_09",259.061796913947,219.906088489156,-0.01993253444019,-0.0710468732320912,409,58,313,204,58
"YNL097C_00",224.884471928606,219.864642468916,-0.235298175353706,-0.0567645415439504,25,1100,240,275,25
"YOL116W_05",410.327272946574,219.821017790911,-0.0306384249336773,-0.348972684717972,1164,178,52,722,52
"YCL059C_02",283.600003745046,219.714528815096,-0.312242173993914,-0.383933650474644,477,1296,0,1575,0
"YPL269W_08",4533.91206348786,219.622537848481,0.283167505087479,0.0995914898300132,4141,0,2,195,0
"YFL039C_08",315.76866275216,219.580862431096,-0.070986329767638,-0.0481328778254918,1164,0,627,122,0
"YOR231W_04",573.215023915602,219.559934465272,0.119227703770823,-0.606610305543816,932,0,162,723,0
"YNL235C_04",327.585470389177,219.532408981597,0.0132629018227804,-0.266754401996295,1324,0,249,857,0
"YER071C_05",798.88027558081,219.50576316405,-0.0679460851939947,-0.0178254124869594,494,1273,634,1,1
"YGR161C-C_01_DEGEN",260.5325708473,219.467008626533,-0.0735323217030517,-0.188638032182652,324,455,669,33,33
"YBR276C_00",255.324055871188,219.462402381952,0.0634867293055459,0.013986584095351,62,359,104,325,62
"YDR056C_08",287.825331354317,219.458226554993,-0.108323909295092,-0.234522840537718,1401,0,47,427,0
"YJL142C_09",287.168003219721,219.387891470537,-0.127589811674253,-0.396904433988835,552,568,809,532,532
"YLR263W_07",682.546309730789,219.298238691417,0.0239862278896469,-0.180958965521479,1085,513,379,364,364
"YPL179W_04",328.262756445519,219.260298346145,-0.206488158625283,0.206041680841537,629,27,288,0,0
"YCL025C_03",345.276683688659,219.252737897915,0.0433316995457708,0.0425558362405939,16,467,452,0,0
"YBR059C_04",328.035027128014,219.235080419057,0.0440131624672158,0.128610624964337,364,373,141,126,126
"YDR431W_07",225.431694735959,219.217687830782,0.0333804968186037,-0.0461684770115678,325,109,509,102,102
"YOL072W_02",721.341215297126,219.210566123847,-0.188026337421036,-0.345572276641946,422,2381,416,480,416
"YMR027W_05",1299.71719034286,219.174358991363,0.127314793214846,-0.0858853485337774,673,629,240,419,240
"YCL041C_05",526.473350749854,219.168401671464,0.0285925260718743,-0.021633240951715,649,478,67,425,67
"YHL027W_05",267.336286968082,219.161148691357,-0.176871456751912,-0.285113215242135,59,906,16,590,16
